   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     67/1    0.000    0.000   31.683   31.683 {built-in method builtins.exec}
        1    0.001    0.001   31.683   31.683 profile_tokenizer.py:1(<module>)
        1    0.004    0.004   31.626   31.626 tokenization.py:73(train_tokenizer)
        1    0.445    0.445   29.724   29.724 tokenization.py:48(train_tokenizer_from_counters)
      743   13.770    0.019   20.713    0.028 tokenization.py:27(update_parts)
      743    7.617    0.010    8.217    0.011 tokenization.py:10(count_pair_frequencies)
36329566/36329443    4.035    0.000    4.035    0.000 {built-in method builtins.len}
 24246550    3.509    0.000    3.509    0.000 {method 'append' of 'list' objects}
     6458    1.282    0.000    1.876    0.000 tokenization.py:5(pretokenize)
      743    0.321    0.000    0.321    0.000 tokenization.py:17(get_best_pair)
  1263140    0.247    0.000    0.247    0.000 {method 'encode' of 'str' objects}
  1263131    0.244    0.000    0.244    0.000 {method 'group' of '_regex.Match' objects}
     6458    0.007    0.000    0.103    0.000 regex.py:340(finditer)
     6460    0.022    0.000    0.094    0.000 regex.py:449(_compile)
       11    0.000    0.000    0.093    0.008 __init__.py:1(<module>)
    13091    0.020    0.000    0.058    0.000 enum.py:1607(__and__)
